basin_id,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,num_years_hydro,start_date_hydro,end_date_hydro,num_years_climatic,start_date_climatic,end_date_climatic
AT000066,2.484,0.859,0.894,2.482,0.754,258.5,7.967,0.664,6.444,0.056,1.333,2.07,4.455,0.0,2.89,1.437,0.497,0.399,0.36,13.035,1.177,Summer,201.184,3.66,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000067,2.002,0.673,1.457,3.143,0.65,250.8,10.132,0.304,6.394,2.581,2.162,42.225,27.271,0.0,2.884,1.491,0.517,0.528,0.278,15.348,1.244,Summer,208.681,3.822,Winter,31.0,1991-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000068,2.794,1.046,0.912,1.924,0.777,238.486,18.416,0.931,6.819,0.014,1.0,,,0.0,2.667,1.677,0.629,0.536,0.233,15.348,1.333,Summer,214.45,3.97,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000069,2.699,0.912,0.631,2.619,0.766,253.929,9.338,0.771,6.826,0.085,1.0,1.084,25.667,0.0,2.952,1.455,0.493,0.517,0.291,15.838,1.195,Summer,209.933,3.76,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000070,3.238,1.201,1.075,2.611,0.742,253.214,9.704,0.857,8.571,0.366,1.083,0.901,6.4,0.0,2.693,1.701,0.632,0.53,0.229,15.783,1.251,Summer,215.335,3.918,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000071,2.732,0.976,0.973,2.478,0.765,250.2,9.916,0.78,6.889,0.07,1.0,0.183,4.333,0.0,2.792,1.599,0.573,0.526,0.255,15.688,1.238,Summer,212.559,3.855,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000072,2.331,0.8,0.921,1.927,0.764,242.38,10.696,0.775,6.015,0.039,1.0,,,0.0,2.924,1.485,0.508,0.518,0.284,15.851,1.195,Summer,211.09,3.789,Winter,51.0,1971-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000073,3.724,1.289,0.324,4.603,0.67,272.033,6.457,0.364,11.796,2.968,2.091,99.966,34.055,0.0,2.869,1.417,0.494,0.409,0.368,13.742,1.226,Summer,204.518,3.693,Winter,31.0,1991-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000074,2.523,0.899,1.049,2.705,0.776,255.171,9.393,0.747,6.231,0.141,1.25,0.394,4.0,0.0,2.802,1.582,0.565,0.499,0.273,15.212,1.217,Summer,211.511,3.807,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000075,2.797,0.906,0.715,1.866,0.781,244.841,9.774,0.981,6.877,0.022,1.0,,,0.0,3.081,1.511,0.49,0.499,0.282,15.38,1.181,Summer,207.608,3.696,Winter,47.0,1973-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000076,2.705,0.837,1.015,2.372,0.743,248.38,10.012,0.728,7.273,0.078,1.333,2.255,1.554,0.0,3.255,1.585,0.487,0.477,0.264,14.958,1.164,Summer,203.824,3.588,Winter,51.0,1971-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000077,2.57,0.888,0.934,2.138,0.783,253.52,7.305,0.921,6.076,,,,,0.0,2.922,1.474,0.504,0.416,0.34,13.049,1.174,Summer,200.096,3.621,Winter,51.0,1971-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000078,1.725,0.483,-4.041,3.012,0.651,266.814,15.532,0.054,9.301,48.253,13.076,139.9,36.926,0.0,3.532,1.342,0.38,0.468,0.34,13.092,1.205,Summer,195.778,3.5,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000079,4.32,1.463,1.143,6.045,0.627,269.467,6.119,0.256,15.018,10.608,2.113,141.257,54.605,0.0,2.918,1.469,0.503,0.523,0.287,15.418,1.222,Summer,209.366,3.809,Winter,46.0,1976-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000080,1.261,0.41,4.398,1.863,0.7,250.123,17.619,0.199,6.959,29.969,14.544,58.832,17.031,0.0,3.068,1.491,0.486,0.516,0.282,14.833,1.226,Summer,205.542,3.798,Winter,66.0,1956-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000081,2.673,0.89,1.142,2.77,0.741,252.833,9.853,0.662,7.211,0.344,2.1,4.131,12.0,0.0,3.0,1.465,0.488,0.515,0.29,15.47,1.196,Summer,209.255,3.765,Winter,61.0,1961-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
