basin_id,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens
ITIS0160,3448.969,2257.507,1078.566,28.887,0.409,88.146,0.641,0.132
ITIS0161,3448.969,2232.876,920.187,27.942,0.495,87.452,0.538,0.118
ITIS0162,3399.249,2463.81,1457.787,24.785,0.748,83.888,0.633,0.058
ITIS0163,3399.249,1926.361,435.929,26.202,0.644,88.381,0.571,0.114
ITIS0164,3869.176,1895.751,227.49,25.079,4.115,80.251,0.693,0.144
ITIS0165,2706.061,1873.468,1304.195,25.166,0.844,87.67,0.712,0.005
ITIS0166,3226.52,1958.768,1065.842,29.019,0.574,90.263,0.593,0.138
ITIS0167,3226.52,1909.147,1061.252,27.774,0.63,89.594,0.512,0.136
ITIS0168,3460.735,2188.537,1366.237,27.523,2.347,86.205,0.586,0.121
ITIS0169,3440.551,1925.645,940.432,25.486,1.83,80.828,0.568,0.16
ITIS0170,3460.735,1873.051,757.282,26.719,2.368,84.565,0.586,0.161
ITIS0171,3171.736,1873.607,1095.25,25.859,2.782,77.035,0.549,0.155
ITIS0172,2806.25,1958.647,1197.16,24.477,2.275,83.08,0.689,0.11
ITIS0173,3414.982,2031.497,1089.964,27.824,1.272,84.522,0.645,0.111
ITIS0174,3478.729,2165.327,1050.104,27.846,0.499,89.423,0.579,0.118
ITIS0175,3414.982,2378.302,1519.778,26.215,0.886,84.864,0.675,0.072
ITIS0176,3414.982,2377.908,1519.778,26.22,0.885,84.876,0.676,0.073
ITIS0177,3431.629,2155.573,1155.981,26.926,0.668,87.934,0.566,0.115
ITIS0178,3478.729,2113.857,851.055,27.747,1.021,88.652,0.576,0.123
ITIS0179,3478.729,2036.519,820.841,27.426,1.691,87.394,0.577,0.136
ITIS0180,3478.729,2036.438,820.841,27.425,1.696,87.388,0.577,0.136
ITIS0181,3478.729,1898.042,801.014,25.44,2.795,80.667,0.624,0.145
ITIS0182,3003.258,1901.728,1026.915,24.221,1.787,74.098,0.551,0.168
ITIS0183,3101.393,1856.545,817.548,23.148,1.126,72.142,0.663,0.154
ITIS0184,3478.729,1860.354,732.446,24.828,2.379,78.585,0.704,0.147
ITIS0185,3005.832,1837.266,1071.202,23.595,0.375,79.256,0.656,0.119
ITIS0186,3478.729,1812.389,516.587,24.991,2.319,79.82,0.662,0.156
ITIS0187,3478.729,1805.843,458.471,24.673,2.217,78.835,0.692,0.153
ITIS0188,3478.729,1805.843,458.471,24.673,2.217,78.835,0.692,0.153
ITIS0189,2931.185,1829.059,931.045,29.917,0.249,88.698,0.719,0.061
ITIS0190,2799.205,1634.779,859.551,19.495,1.447,61.256,0.631,0.098
ITIS0191,2720.355,1877.08,1017.97,25.588,0.722,87.527,0.588,0.135
ITIS0192,2694.958,1944.53,1025.534,22.602,0.38,86.856,0.641,0.122
ITIS0193,3869.176,1894.636,227.49,25.063,4.166,80.197,0.693,0.144
ITIS0194,3869.176,1792.63,215.147,24.394,3.137,78.078,0.559,0.149
ITIS0195,3074.557,1970.458,1310.89,25.565,2.062,77.252,0.665,0.067
